RUBRO,NOMBRE FANTASIA,DIRECCION,N§,LOCALIDAD,DEPARTAMENTO,TELEFONOS,CLASE,CATEGORIA,ESTADO,HABIT.,PLAZAS,TITULAR,E-MAIL
HOTEL,CATEDRAL,PATRICIAS MENDOCINAS,1785,CIUDAD,CAPITAL,4236423,HOTEL,2 ESTRELLAS,INSCRIPTO,20,46,MUTUAL CIRCULO SUBOFICIALES G.N.,cirsubgan_mendoza@yahoo.com.ar
HOTEL,HUENTALA HOTEL BOUTIQUE,PRIMITIVO DE LA RETA,1007,CIUDAD,CAPITAL,4200766/664,HOTEL,4 ESTRELLAS,INSCRIPTO,83,142,VITAL S.A.,reservas@huentala.com www.huentala.com.ar
ALOJAMIENTO,LA POSADA DEL MONTA¥EZ,CALLEJON ARCANGELETTI,879,CIUDAD,MALARGUE,0260-4636264,ALOJAMIENTO,SIN CATEGORIZAR,E/T,1,6,"YBA¥EZ, DIEGO ARIEL",laposadadelmontanes@outlook.com
MOTEL,HOSTAL DE LOS ANDES,AV.ACCESO ESTE,KM11,RODEO DE LA CRUZ,GUAYMALLEN,4910595-4912297,MOTEL,2 ESTRELLAS,INSCRIPTO,16,80,"GULLO, VICTOR JOSE",victorgullo@infovia.com.ar
ALOJAMIENTO,FUENTE MAYOR HOTEL & RESORT,ESPEJO,565,CIUDAD,CAPITAL,4243960,ALOJAMIENTO,SIN CATEGORIZAR,E/T,64,128,FUANTE MAYOR S.A.,eventos@hotelfuente mayor.com
ALOJAMIENTO,PENITENTES,RUTA 7,KM165,LOS PENITENTES,LAS HERAS,,ALOJAMIENTO,SIN CATEGORIZAR,E/T,17,54,"PONS, JUAN GUILLERMO",
HOTEL,SOL ANDINO,AV.GODOY CRUZ,102,CIUDAD,CAPITAL,4256075,HOTEL,2 ESTRELLAS,INSCRIPTO,60,170,DESTINO VIP S.R.L.,reservas@hotelcordondelplata.com.ar
HOSPEDAJE,VALLE AZUL,AV.JUAN B.JUSTO,365,CIUDAD,CAPITAL,4297885,HOSPEDAJE,HOSPEDAJE,INSCRIPTO,23,65,"TRAVAGLINI, PATRICIA",cyber-cuyo@hotmail.com
HOSPEDAJE,ESPA¥A,ALVEAR,165,CIUDAD,LUJAN DE CUYO,4980411-4985009,HOSPEDAJE,HOSPEDAJE,INSCRIPTO,11,45,WENCESLAO HOUDEK E HIJOS,mmelag@infovia.com.ar
HOTEL,PACIFICO,AV.SAN JUAN,1407,CIUDAD,CAPITAL,4201025,HOTEL,2 ESTRELLAS,INSCRIPTO,48,100,KIM GIK HYUN - PACÖFICO SRL,hotelpacificomendoza@gmail.com
ALOJAMIENTO,TERMAS DE CACHEUTA,RUTA PROV.82,KM38,CACHEUTA,LUJAN DE CUYO,4290936,ALOJAMIENTO,SIN CATEGORIZAR,E/T,16,40,TERMALIA S.A.,www.termascacheuta.com
HOTEL,SHERATON MENDOZA HOTEL,PRIMITIVO DE LA RETA,989,CIUDAD,CAPITAL,4415500,HOTEL,5 ESTRELLAS,INSCRIPTO,180,360,CELA S.A.,www.sheraton.com/mendoza
HOTEL,MILLALEN,ORTIZ DE ROSAS,198,CIUDAD,SAN RAFAEL,0260-4432608/4422776,HOTEL,2 ESTRELLAS,INSCRIPTO,19,48,LINOR S.R.L,hotelmillalen@infovia.com.ar
HOTEL,NECOCHEA,NECOCHEA,541,CIUDAD,CAPITAL,4253501/4235112,HOTEL,1 ESTRELLA,INSCRIPTO,18,50,"VALLEJOS, RUBN",hotelnecochea@supernet.com.ar www.mendozatour.com.ar/necochea
PAT,BELLA VISTA LOFT,"B§ LOS ARGAURIBAY-MZ.""B""-LOTE 1",,EL CHALLAO,LAS HERAS,5240763/764,PAT,PAT,INSCRIPTO,,,"COSTARELLI, VIVIANA RAQUEL",
HOSPEDAJE,ATUEL,CORONEL SUAREZ,124,CIUDAD,SAN RAFAEL,0260-4438282,HOSPEDAJE,HOSPEDAJE,INSCRIPTO,20,40,"VERDUGO, FABRICIO",hotelatuel@yahoo.com.ar
HOTEL,VALLE ANDINO,RUTA 7,S/N,USPALLATA,LAS HERAS,261-5977858/02624-420095,HOTEL,SIN CATEGORIZAR,E/T,26,103,COOP.DE TRABAJO LOS CONDORES LTDA.,cootralco@hotmail.com
HOTEL,CENTER,ALEM,547,CIUDAD,CAPITAL,4237234,HOTEL,1 ESTRELLA,INSCRIPTO,21,57,"DENARO, HUGO-ANGEL-ANA MARIA",centerhotel2001@yahoo.com.ar
APART-HOTEL,SAN MARTIN APART HOTEL,SAN MARTIN,435,CIUDAD,SAN RAFAEL,0260-4420400/4433363,APART-HOTEL,2 ESTRELLAS,INSCRIPTO,15,58,"SALONIA, FABIO FRANCISCO",hotelsnamartin@infovia.com.ar www.hotelapartsanmartin.com.ar
CABA¥AS,EDELWEIS,LOS CLAVELES,S/N,POTRERILLOS,LUJAN DE CUYO,4202449,CABA¥AS,SIN CATEGORIZAR,INSCRIPTO,2,13,"AZEGLIO, ALDO",
HOTEL,BLANCO,DORREGO,660,DORREGO,GUAYMALLEN,4319688,HOTEL,1 ESTRELLA,INSCRIPTO,15,45,"BLANCO, VÖCTOR ALBERTO",
HOTEL,TURISMO TUPUNGATO,BELGRANO,1060,CIUDAD,TUPUNGATO,02622-488007,HOTEL,1 ESTRELLA,INSCRIPTO,33,98,MUNICIPALIDAD DE TUPUNGATO,hotelturismo@tupungato.gov.ar
HOSTERIA,CERRO NEVADO (EX-LA CANALETA),ING.FRANCISCO GUI¥AZU,S/N,POTRERILLOS,LUJAN DE CUYO,,HOSTERIA,1 ESTRELLA,INSCRIPTO,14,36,"SUAREZ, CARLOS J.",
CAMPING,TERMAS DE CACHEUTA,RUTA 7,KM39,CACHEUTA,LUJAN DE CUYO,02624-490152/153,CAMPING,1 ESTRELLA,INSCRIPTO,____,,COOPERATIVA DE LOS ANDES,reservas@termascacheuta.com
CAMPING,EL MANZANO,LOC. EL MANZANO,S/N,EL MANZANO,TUNUYAN,,CAMPING,SIN CATEGORIZAR,INSCRIPTO,____,,"FERNANDEZ, JUAN DE DIOS",
ALOJAMIENTO,MUNICIPAL TUNUYAN,DISTRITO LOS CHACAYES,S/N,EL MANZANO,TUNUYAN,02622-422195/93,ALOJAMIENTO,SIN CATEGORIZAR,E/T,____,,MUNICIPALIDAD DE TUNUYAN- (MINIST.ECON.),recursoshumanos@slatinos.com.ar
CAMPING,RIO DIAMANTE,ISLA RIO DIAMANTE,S/N,VALLE GRANDE,SAN RAFAEL,,CAMPING,SIN CATEGORIZAR,INSCRIPTO,____,,,
HOTEL,IMPERIAL,AV.LAS HERAS,88,CIUDAD,CAPITAL,4253992,HOTEL,1 ESTRELLA,INSCRIPTO,30,69,"POTT, SILVIA",hotel-imperial@hotmail.com
CAMPING,DIQUE CIPOLLETTI,DIQUE CIPOLLETTI,S/N,CIPOLLETTI,LUJAN DE CUYO,4981621-4986798,CAMPING,SIN CATEGORIZAR,INSCRIPTO,____,,,juantegui@tutopia.com
CAMPING,CENTRO TURISTICO POTRERILLOS,RUTA 7,S/N,POTRERILLOS,LUJAN DE CUYO,02624-482130,CAMPING,SIN CATEGORIZAR,INSCRIPTO,____,,"POLA, WALTERIO",
ALOJAMIENTO,CABA¥AS ROSA MOSQUETA,LOS ABEDULES E.,365,MALARGUE,MALARGUE,,ALOJAMIENTO,SIN CATEGORIZAR,E/T,3,15,RAMAL. DIEGO,ferrariscaco2016@gmail.com
ALOJAMIENTO,CERRO ACONCAGUA,RUTA 7,S/N,LOS PENITENTES,LAS HERAS,261-6117786,ALOJAMIENTO,SIN CATEGORIZAR,E/T,10,40,"RETAMALES, GERARDO",retamales@gmail.com
HOTEL,ALMERIA,BARCALA,221,CIUDAD,SAN RAFAEL,0260-4438020,HOTEL,2 ESTRELLAS,INSCRIPTO,20,40,ALMERIA S.A.,reservas@almeriahotel.com.ar
CAMPING,EL PERAL,LA COSTA,S/N,EL PERAL,TUPUNGATO,02622-488097,CAMPING,SIN CATEGORIZAR,INSCRIPTO,____,,MUNICIPALIDAD DE TUPUNGATO,munitup@slatinos.com
HOTEL,EL TORREON,AV.ESPA¥A,1433,CIUDAD,CAPITAL,4233904/0,HOTEL,2 ESTRELLAS,INSCRIPTO,41,100,MATRIX S.R.L.,hoteltorreon@itesa.net
HOTEL,TONIN,PELLEGRINI,330,CIUDAD,SAN RAFAEL,0260-4422499,HOTEL,1 ESTRELLA,INSCRIPTO,37,76,"PASCUALATTO, TERESA",toninhotel@yahoo.com.ar www.sanrafael-tour.com/tonin
ALOJAMIENTO,ALAS,COMANDANTE SALAS,51,CIUDAD,SAN RAFAEL,0260-4422732,ALOJAMIENTO,2 ESTRELLAS,INSCRIPTO,19,62,"FIGUEROA, PABLO JESUS",info@alashotel.com.ar
ALOJAMIENTO,SAN RAFAEL,CNEL.DAY,30,CIUDAD,SAN RAFAEL,0260-4430127/4430128,ALOJAMIENTO,SIN CATEGORIZAR,E/T,50,100,TURISMO LOS ANDES S.A.,
HOTEL,RIO GRANDE,RUTA 40,KM432,CIUDAD,MALARGUE,0260-4471589,HOTEL,3 ESTRELLAS,INSCRIPTO,36,109,"ROVIRA, ELVIRA R.",hotelriogrande@rucared.com.ar
HOTEL,BAMBI,SAN MARTIN,410,CIUDAD,MALARGUE,0260-4471237,HOTEL,1 ESTRELLA,INSCRIPTO,24,61,LUIS RIVERO Y OLGA N. DE RIVERO,hotelbambi@hotmail.com
HOTEL,KALTON,H.YRIGOYEN,120,CIUDAD,SAN RAFAEL,0260-4430209,HOTEL,3 ESTRELLAS,INSCRIPTO,40,91,EMPRENDIMIENTOS TURISTICOS S.R.L.,info@kaltonhotel.com.ar
HOSTEL,SPAZIO HOSTEL AND BREAK,CORRIENTES,20,CIUDAD,CAPITAL,4239385,HOSTEL,HOSTEL,INSCRIPTO,,,"SPANO BUZIO, GRACIELA",www.spaziohostel.com.ar-hostel_spazio@hotmail.com
ALOJAMIENTO,VI¥AS,AV.MITRE,445,CIUDAD,SAN RAFAEL,0260-4424355,ALOJAMIENTO,SIN CATEGORIZAR,E/T,22,54,SANCHEZ Y GARCIA,hotelvinas@sanrafael-tour.com
HOTEL,ESCORPIO,VALLE DE LAS LE¥AS,S/N,LAS LE¥AS,MALARGUE,011-48196060,HOTEL,3 ESTRELLAS,INSCRIPTO,48,122,VALLE DE LAS LE¥AS S.A.,
ALOJAMIENTO,RESIDENCIA TU CASA,CASEROS,126,CIUDAD,GRAL.ALVEAR,262-5448699,ALOJAMIENTO,SIN CATEGORIZAR,E/T,,,"MARTINA, OLGA",martina_alfa@yahoo.com.ar
ALOJAMIENTO,PISCIS,VALLE DE LAS LE¥AS,S/N,LAS LE¥AS,MALARGUE,0260-4471318,ALOJAMIENTO,SIN CATEGORIZAR,E/T,98,196,VALLE DE LAS LE¥AS S.A.,hotelpiscis@laslenas.com
HOTEL,BUENOS AIRES,ING. LANGE,54,CIUDAD,GRAL.ALVEAR,02625-422972,ALOJAMIENTO,SIN CATEGORIZAR,E/T,28,60,"FUENTES, JOSE MIGUEL",hotelbuenosaires@gmail.com
HOTEL,TURIS,ALVAREZ CONDARCO,340,CIUDAD,SAN RAFAEL,0260-4428090,HOTEL,1 ESTRELLA,INSCRIPTO,19,40,"REVELLI, RAFAEL",hoteltuirs@yahoo.com.ar
ALOJAMIENTO,LA MARTINA CASA DE CAMPO,ARROYO,1331,RAMA CAIDA,SAN RAFAEL,260-517234,ALOJAMIENTO,SIN CATEGORIZAR,E/T,3,18,"ZACCAGNINI, ALEJANDRA NORA",alezacca13@hotmail.com
ALOJAMIENTO,PLAZA DE MULAS,PLAZA DE MULAS,,PUENTE DEL INCA,LAS HERAS,4250871,ALOJAMIENTO,SIN CATEGORIZAR,E/T,,80,ACONCAGUA EXPEDICIONES S.A.,
HOTEL,ESPA¥A,SAN MARTIN,296,CIUDAD,SAN RAFAEL,0260-4424055/4421192,HOTEL,SIN CATEGORIZAR,INSCRIPTO,36,80,TERCERO HNOS,hotelespanasrl@hotmail.com
ALOJAMIENTO,PALACE,AV.LAS HERAS,87,CIUDAD,CAPITAL,261-4234200,ALOJAMIENTO,SIN CATEGORIZAR,E/T,,,LAS TARTAS S.A.,hotel_palace_mendoza@gmail.com
REFUGIO,REFUGIO SAN BERNARDO,CAMINO A VALLECITOS,S/N,POTRERILLOS,LUJAN DE CUYO,154183857,REFUGIO,1 ESTRELLA,INSCRIPTO,4,30,"MU¥OZ, SANDRA",
HOSPEDAJE,ESPA¥A,VICENTE LOPEZ,420,CIUDAD,CAPITAL,4244955,HOSPEDAJE,HOSPEDAJE,INSCRIPTO,8,26,"GRACIS, JOSE",
PAT,LAS ARABIAS,FRAY INALICAN,356,CIUDAD,MALARGUE,0260-4471401,PAT,PAT,INSCRIPTO,1,6,"MENDEZ CRUZ, JUAN FERNANDO",lasarabias@gmail.com
CAMPING,EL MANGRULLO,AV.CHAMPAGNAT,S/N,EL CHALLAO,LAS HERAS,4440271,CAMPING,SIN CATEGORIZAR,INSCRIPTO,,,"RAMERO, GUILLERMO DANIEL",gramero@hotmail.com
HOSPEDAJE,MESTRE,SAN MARTIN,1396,CIUDAD,TUNUYAN,02622-422555/424345,HOSPEDAJE,HOSPEDAJE,INSCRIPTO,39,80,FRANCISCO MESTRE E HIJOS S.R.L.,
HOSPEDAJE,AVELLANEDA,AVELLANEDA,810,CIUDAD,CAPITAL,4230208,HOSPEDAJE,HOSPEDAJE,INSCRIPTO,6,18,"HERRERA, JOSE M.",
ALOJAMIENTO,LA ESTRELLA,SAN ISIDRO,985,CIUDAD,RIVADAVIA,02623-442657,ALOJAMIENTO,SIN CATEGORIZAR,INSCRIPTO,7,9,"CANILLAS, INES",danielhgi@hotmail.com
HOTEL,MAYO,25 DE MAYO,1265,CIUDAD,CAPITAL,4254424,HOTEL,1 ESTRELLA,INSCRIPTO,19,,LA BURGUESA S.E.C.P.A,reservashotelmayo@arlinkbbt.com.ar www.hotelmayo.com.ar
HOSPEDAJE,PINATAR,MAGALLANES,2721,VILLA NUEVA,GUAYMALLEN,4260351,HOSPEDAJE,HOSPEDAJE,INSCRIPTO,8,14,,
HOTEL,PRINCESS,25 DE MAYO,1168,CIUDAD,CAPITAL,4230494,HOTEL,3 ESTRELLAS,INSCRIPTO,36,75,SERVICIOS TURISTICOS SRL,reservas@hotelprincess.com.ar
HOSTERIA,PARADOR DEL ANGEL,JORGE NEWBERY,5418,CHACRAS DE CORIA,LUJAN DE CUYO,,HOSTERIA,1 ESTRELLA,INSCRIPTO,8,15,"ALESSIO, DANIEL",
CAMPING,DON ANTONIO,R.SAENZ PE¥A,2160,VISTALBA,LUJAN DE CUYO,4988063,CAMPING,SIN CATEGORIZAR,INSCRIPTO,,,"SAVINA, ANTONIO",
ALOJAMIENTO,CABA¥AS HACER-K-T,AV.LOS CONDORES,S/N,POTRERILLOS,LUJAN DE CUYO,02624-483085,ALOJAMIENTO,SIN CATEGORIZAR,E/T,6,14,"VANIN, IRIS MODESTA",
ALOJAMIENTO,ZAMORA,PERU,1156,CIUDAD,CAPITAL,4257537,ALOJAMIENTO,SIN CATEGORIZAR,E/T,15,39,"MARQUEZ, SUSANA ANGELA",hotelzamora@gmail.com
