nombre_bodega;direccion_bodega;direccion_numero_bodega;localidad_direccion_bodega;departamento_direccion_bodega;telefono_bodega;titular_bodega;correo_contacto_bodega
BODEGA ALFREDO ROCA;RUTA PROV.165;S/N;CA•ADA SECA;SAN RAFAEL;ˇ0260-4497250;ROCA S.A.;roca@rocawines.com
VI•A EL CERNO;PERITO MORENO;631;COQUIMBITO;MAIPU;4811567;VI•A EL CERNO S.A.;elcerno@elcerno-wines.com.ar
CASA BIANCHI;RUTA 143 Y CALLE VALENTIN BIANCHI;;LAS PAREDES;SAN RAFAEL;0260-4449600 INT.211;VALENTIN BIANCHI S.A.C.I.F.;
BODEGA LUIGI BOSCA/FAMILIA ARIZU;SAN MARTIN ;2044;MAYOR DRUMOND;LUJAN DE CUYO;4981974;LEONCIO ARIZU S.A.;turismo@luigibosca.com
BODEGA CLOS DE CHACRAS;MONTE LIBANO;1025;CHACRAS DE CORIA;LUJAN DE CUYO;4961285;ESTABLECIMIENTO PUNTA AZUL S.A.;florencia@closdechacras.com.ar
CASA DEL VISITANTE;RUTA PROV.33;KM.7,5;FRAY LUIS BELTRAN;MAIPU;4410000;VI•A SANTA JULIA S.A.;
PAN Y OLIVA;RUTA PROV.33;;BELTRAN;MAIPU;4410000;VI•A SANTA JULIA S.A.;
BODEGA LA AZUL;RUTA PROV.89;S/N;TUPUNGATO;TUPUNGATO;02622-423593;BODEGA LA AZUL S.A.;
BODEGA LAGARDE;AV.SAN MARTIN;1745;MAYOR DRUMOND;LUJAN DE CUYO;4980011;LAGARDE S.A.;
ALGOD‡N WINE ESTATES;RUTA NAC.144;KM.674;CUADRO BENEGAS;SAN RAFAEL;0260-4429020;ALGOD‡N WINE ESTATES S.R.L.;turismo@algodonwineestates.com
MASI TUPUNGATO;L.PIZZARRO;S/N;LA ARBOLEDA;TUPUNGATO;156539573;MASI TUPUNGATO VIGNETI LA ARBOLEDA S.A.;
BODEGA CRUZAT;COSTA FLORES ;S/N;PERDRIEL;LUJAN DE CUYO;5242290;VINIFICADORA ACONCAGUA S.A.;info@bodegacruzat.com
BODEGA NIETO SENETINER;GUARDIA VIEJA ;S/N;VISTALBA;LUJAN DE CUYO;4969099;MOLINOS RIOS DE LA PLATA S.A.;
BODEGAS CHANDON;RUTA PROV. 15;KM.29;AGRELO;LUJAN DE CUYO;4263323;BODEGAS CHANDON S.A.;
BODEGA VISTALBA;ROQUE SAENZ PE•A;3531;VISTALBA;LUJAN DE CUYO;4989400;BODEGA VISTALBA S.A.;turismo@cpwines.com
BODEGA LABIANO;CUBILLOS;3850;RAMA CAIDA;SAN RAFAEL;0260-4441034;FRANCISCO LABIANO E HIJOS S.A.;info@bodegalabiano.com
BODEGA TRIVENTO ARGENTINA;RUTA 60 Y CANAL PESCARA;;RUSSEL ;MAIPU;;TRIVENTO BODEGAS Y VI•EDOS S.A.;info@tivento.com
BODEGA CARINAE;VIDELA ARANDA ;2899;CRUZ DE PIEDRA;MAIPU;4990470;CARINAE S.A.;carinae@carinaevinos.com
GRUPO PE•AFLOR S.A.;NUEVA MAYORGA;S/N;COQUIMBITO;MAIPU;5204666;GRUPO PE•AFLOR S.A.;abrizuela@trapiche.com.ar
BODEGA RUCA MALEN;RUTA NACIONAL 7;KM.1059;AGRELO;LUJAN DE CUYO;4541236;BODEGA RUCA MALEN S.A.;pcuneo@bodegarucamalen.com
BRESSIA BODEGA;COCHABAMBA;7725;AGRELO;LUJAN DE CUYO;5249161;GRAPPOLO S.A.;
BODEGA FINCA AGOSTINO;CARRIL BARRANCAS;10590;BARRANCAS;MAIPU;4249358/9;FINCA AGOSTINO HNOS. S.A.;turismo@fincaagostino.com
BODEGA NORTON;RUTA PROV.15-KM.23,5;;PERDRIEL;LUJAN DE CUYO;;BODEGA NORTON S.A.;cargerich@norton.com.ar
ALTA VISTA;ALZAGA;3972;CHACRAS DE CORIA;LUJAN DE CUYO;4961989;LA CASA DEL REY S.A.;tourism@altavistawines.com
BODEGAS Y VI•EDOS CAVAS DE DON ARTURO;FRANKLIN VILLANUEVA ;2233;LULUNTA;MAIPU;4270071;BODEGAS Y VI•EDOS CAVAS DE DON ARTURO;
BODEGA DIVENDRES;CALLE MIGUEZ;S/N;LOS BARRIALES;JUNIN;0263-4533898;DIVENDRES S.R.L.;contacto@divendres.com.ar
FAMILIA OTERO RAMOS;ARAOZ;2750;MAYOR DRUMOND;LUJAN DE CUYO;4961680;TIERRAS DEL ANDE S.A.;info@oteroramos.com.ar
BODEGA Y VI•EDOS RENACER;BRANDSEN;1863;PERDRIEL;LUJAN DE CUYO;5244416;BODEGA Y VI•EDOS RENACER S.A.;
BODEGA CARMELO PATTI;SAN MARTIN ;2614;MAYOR DRUMOND;LUJAN DE CUYO;4981379;PATTI, CARMELO;
BODEGA BENEGAS;ARAOZ;1600;MAYOR DRUMOND;LUJAN DE CUYO;4963078;BENEGAS S.A.;turismo@bodegabenegas.com
BODEGAS  Y VI•EDOS FLORIO;VIDELA ARANDA ;2301;CRUZ DE PIEDRA;MAIPU;4990053;MERALVA S.A.;florioturismo@florioycia.com.ar
BODEGA TEMPUS ALBA;PERITO MORENO;572;COQUIMBITO;MAIPU;5293885;ALDO LUIS BIONDOLILLO Y ASOC. S.A.;bodga@tempusalba.com
MEVI;PERITO MORENO;1751;COQUIMBITO;MAIPU;4814747;MEVI S.A.;
BODEGA 1920;CUBILLOS;3200;RAMA CAIDA;SAN RAFAEL;2604-649788;ROJO, ELBIO RAUL;
LAMADRID ESTATE WINES;ROQUE SAENZ PE•A;8450;LAS COMPUERTAS;LUJAN DE CUYO;5629134;FINCA DE AGRELO S.A.;turismo@lamadridwines.com
LA RURAL;MONTECASEROS;2625;COQUIMBITO;MAIPU;4972013;LA RURAL VI•EDOS Y BODEGAS S.A.;museo@bodegalarural.com.ar
CUARTA GENERACION DE CABRINI;RUTA PROV.15-KM.22;S/N;PERDRIEL;LUJAN DE CUYO;4880218;CABRINI, FERNANDO Y HUGO;ivgcabri@infovia.com.ar
CORAZON DEL SOL;RUTA 94;KM 11;VISTA FLORES;TUNUYAN;261-6590043;CORAZON DEL SOL S.R.L.;cfuler@corazondelsol.com
DOMINIO DEL PLATA;COCHABAMBA;7801;AGRELO;LUJAN DE CUYO;4989200;DOMINO DEL PLATA S.A.;turismo@dominiodelplata.com.ar
BODEGAS ESCORIHUELA GASCON;BELGRANO;1188;CIUDAD;GODOY CRUZ;261-4242282;S.A.E.V. ESCORIHUELA;
BODEGA DANTE ROBINO;QUINTANA;375;PERDRIEL;LUJAN DE CUYO;4882050;BODEGA DANTE ROBINO S.A.;turismo@bodegadanterobino.com
SUPERUCO;RUTA 94;KM.11,2;LOS CHACAYES;TUNUYAN;261-6819773;SUPERUCO S.A.;gmichelini@hotmail.com
JEAN RIVIER E HIJOS ;HIPOLITO YRIGOYEN;2385;CIUDAD;SAN RAFAEL;4432676;JEANRIVIER E HIJOS S.R.L.;
BODEGA SAN HUBERTO;GUARDIA VIEJA ;1100;VISTALBA;LUJAN DE CUYO;4987000;BODEGAS Y VI•EDOS PINCOLINI S.A.;
ESTRELLA DE LOS ANDES;OLAVARRIA;265;PERDRIEL;LUJAN DE CUYO;;BODEGA ESTRELLA DE LOS ANDES S.A.;info@bodegaestrelladelosandes.com
FINCA FERRER;;;;TUPUNGATO;;FINCA FERRER;
VINOS JOLL DONNOLA;PERDIGUEZ;2200;RAMA CAIDA;SAN RAFAEL;260-164311294;DONNOLA, NICOLAS JOEL;
KAIKEN;ROQUE SAENZ PE•A;5516;VISTALBA;LUJAN DE CUYO;4761111;KAIKEN S.A.;tours@kaikenwines.com
CASA EL ENEMIGO;VIDELA ARANDA ;7008;RODEO DEL MEDIO;MAIPU;;CASA EL ENEMIGO S.A.;administrscion@casaelenemigo.com
TIERRAS ALTAS;ACCESO SUR ;6501;CARRODILLA;LUJAN DE CUYO;49660111;TIERRAS ALTAS S.A.;turismo@bodegatierrasalta.com
GIMENEZ RIILI BODEGAS Y VI•EDOS;RUTA PROVINCIAL 94;S/N;LOS CHACAYES;TUNUYAN;2613470392;GR WINE ARGENTINA S.A.;experiencia@gimenezririili.com
FINCA CUADRO BENEGAS;EL VENCEDOR Y MERCADO;;CUADRO BENEGAS;SAN RAFAEL;264439479;FINCA CUADRO BENEGAS S.A.;turismo@fincacuadrobenegas.com
CASARENA;BRANDSEN;505;PERDRIEL;LUJAN DE CUYO;261-6967848;CASARENA BODEGAS Y VI•EDOS S.A.;turismo@casarena.com
BODEGA DOMICIANO;DORREGO;4901;COQUIMBITO;MAIPU;261-522385;DOMICIANO S.A.;adm@domiciano.com.ar
BODEGAS Y VI•EDOS GARBIN;CASTELLI;1331;CIUDAD;SAN RAFAEL;0260-430020;GARBIN ESTATE S.A.;
FINCA DECERO;BAJO LAS CUMBRES ;9003;AGRELO;LUJAN DE CUYO;5249747;PERMASUR S.A.;mariano.chard@decero.com
BODEGA R.J. VI•EDOS;TERRADA;2400;PERDRIEL;LUJAN DE CUYO;4880904-5247872;R.J. VI•EDOS S.A.;rjvinedos@rjvinedos.com
BODEGAS BUDEGUER;RUTA PROV. 15;KM.31,5;AGRELO;LUJAN DE CUYO;;BODEGAS BUDEGUER S.A.;turismo@budeguer.com
FINCA SOPHENIA;RUTA 89;KM.12,5;GUALTALLARY;TUPUNGATO;02622-489680;FINCA SOPHENIA S.A.;jhalupczok@sophenia.com.ar
BODEGA A16;RUTA Y COBOS;S/N;PERDRIEL;LUJAN DE CUYO;156534116;A16 S.A.;turismo@a16sa.com.ar
MENDEL WINES;TERRADA;1863;MAYOR DRUMOND;LUJAN DE CUYO;261-52416212;BEAU LIEU S.A.;contacto@mendel.com.ar
BODEGA DIAMANDES;CLODOMIRO SILVA;S/N;VISTA FLORES;TUNUYAN;4760695/96;BODEGA DIAMANDES S.A.;diamantes@diamantes.com
OTAVIANO BODEGA & VI•EDOS;RUTA NA.7;KM.8;AGRELO;LUJAN DE CUYO;155336659;YUHAN S.A.;jc@bodegaotaviano.com
VERALLIA;CARRIL NACIONAL;6070;RODEO DE LA CRUZ;GUAYMALLEN;261-4130200;RAYEN CURA S.A.I.C.;verallia.ar-recepcion@verallia.com
BODEGA ROLLAND;CLODOMIRO SILVA;S/N;VISTA FLORES;TUNUYAN;;ROLLAND WINE & CONSULTING S.A.;turismo@bodegarolland.com
FINCA FERRER;ESTANCIA SILVA ;S/N;GUALTALLARY;TUPUNGATO;;FREIXENET ARGENTINA S.A.;recepcion@freixenet.com.ar
DOLIUM BODEGA SUBTERRANEA;RUTA PROV.15;KM.30;AGRELO;LUJAN DE CUYO;4900226;DOLIUM S.A.;colium@dolium.com
BODEGA MONTEVIEJO;CLODOMIRO SILVA;S/N;VISTA FLORES;TUNUYAN;;MONTEVIEJO S.A.;reservas@monteviejo.com.ar
BODEGAS Y VI•EDOS SANTOS CARELLI;ESTEBAN DE LUCIA;1022;REDUCCION;RIVADAVIA;0263-4484024;BODEGAS Y VI•EDOS SANTOS CARELLI S.A.;
BODEGA BELASCO DE BAQUEDANO;COBOS;8260;CIUDAD;LUJAN DE CUYO;5247861;BELASCO DE BAQUEDANO S.A.;adminitracion@grupolanavarra.com
BODEGA FINCA GABRIEL;RUTA 143 Y CALLE F;S/N;CIUDAD;GRAL. ALVEAR;0261-14412598;RUBIO, JORGE ALBERTO;silvina@jorgerubio.com.ar
BODEGA FAMILIA IBARRA;CUBILLOS;3550;RAMA CAIDA;SAN RAFAEL;260-4436929;IBARRA, PABLO JAVIER;bodegafamiliaibarra@gmail.com
ALTO LIMAY;EL CHA•ARAL;798;LAS PAREDES;SAN RAFAEL;2604-423387;ALTO LIMAY S.A.;info@altolimaywines.com.ar
BODEGA INTIMAYU;AV.LOS SAUCES;2700;LAS PAREDES;SAN RAFAEL;0260-4637704;FINCA INTIMAYU S.A.;bodegaintimayu@gmail.com
BODEGA MURVILLE ;AV.HIPOLITO YRIGOYEN;5814;LAS PAREDES;SAN RAFAEL;0260-4430095;VIDES S.A.;turismo@murville.com
BOURNETT ;RUTA 154;S/N;CUADRO NACIONAL;SAN RAFAEL;0260-4442021;BOURNETT S.A.;info@bournett.com.ar
BODEGA SINF÷N;RUTA PROV.50;2668;RODEO DEL MEDIO;MAIPU;4914409;VI•AS DEL SOL S.R.L.;info@bodegassinfin.com
FINCA LA ANITA;ABDAN ZGAIB;51;MAYOR DRUMOND;LUJAN DE CUYO;261-5608620;FINCA LA ANITA S.A.;bodega@fincalaanita.com
SOLO CONTIGO;RUTA PROV.94;KM.11  ;VISTA FLORES;TUNUYAN;0261-153043605;SOLO CONTIGO S.A.;rivarolagustavo@gmail.com
CATENA ZAPATA;COCHABAMBA;S/N;AGRELO;LUJAN DE CUYO;0261-4628100;BODEGA ESMERALDA S.A.;mlabat@catenazapata.com
BODEGA LOS TONELES;ACCESO ESTE LATERAL NORTE;1360;NUEVA CIUDAD;GUAYMALLEN;4310403;MILLAN S.A.;turismo@bodegalostoneles.com
FINCA RINCON DESEADO;BERTANI NORTE;1600;LAS PAREDES;SAN RAFAEL;0260-4629881;VAZQUEZ DE CAMARGO, BEATRIZ;fincarincondeseado@yahoo.com.ar
DOMAINE BOUSQUET;RUTA 89;KM.7  ;GUALTALLARY;TUPUNGATO;261-3538180;DOMAINE BOUSQUET S.A.;hospitality@domainebousquet.com
OÔFOURNIER;LOS INDIOS;S/N;LA CONSULTA;SAN CARLOS;02622-451279;BODEGAS Y VI•EDOS OÔFOURNIER S.A.;
MATERVINI;COBOS;2142;PERDRIEL;LUJAN DE CUYO;261-6168279;MATERVINI S.A.;
BODEGAS CARO;PRESIDENTE ALVEAR;151;CIUDAD;GODOY CRUZ;4246477;BODEGAS CARO S.A.;adm@bodegascaro.com.ar
WINE & CIRCO;EJERCITO DE LOS ANDES;S/N;LA CONSULTA;SAN CARLOS;;GAMBETA EMPRENDIMIENTOS S.A.;ubaldiniwinws@gmail.com
BODEGA CARMINE GRANATA;ALBERTI;570;MAYOR DRUMOND;LUJAN DE CUYO;4981033;CARMINE GRANATA SAICA;bodegacarminegranata@speedy.com.ar
BODEGA BIANCHI;RUTA 143;;LAS PAREDES;SAN RAFAEL;0260-4449600;VALENTIN BIANCHI S.A.C.I.F.;turismo@bodegasabianchi.com.ar
CUVELIER DE LOS ANDES;CLODOMIRO SILVA;S/N;VISTA FLORES;TUNUYAN;4765404;CUVELIER LOS ANDES S.A.;
CASA EL ENEMIGO;VIDELA ARANDA;7009;RODEO DEL MEDIO;MAIPU;156539137;CASA EL ENEMIGO S.A.;aministracion@casaelenemigo.com
BODEGA ATAMISQUE;LA GLORIA;20154;SAN JOSE DE TUPUNGATO;TUPUNGATO;261-5181786;ATAMISQUE S.A.;jp@atamisque.com
BODEGA VICENTE SOTTANO;COSTA FLORES  Y RUTA NACIONAL 7;;PERDRIEL;LUJAN DE CUYO;261-5621036;SOTANO S.A.;turismo@bodegasottano.com
BODEGA LA CELIA;CIRCUNVALACION;S/N;EUGENIO BUSTOS;SAN CARLOS;261-3057826;BODEGA LA CELIA S.A.;
BODEGA;REINA;S/N;COLONIA LAS RODSAS;TUNUYAN;155346549;GOMEZ, LAUREANO;
ENOTURISMO MARCELO RODRIGUEZ;RUTA 60 Y URQUIZA;;COQUIMBITO;MAIPU;261-6299199;RODRIGUEZ, MARCELO;rodriguezmarcelo96@yahoo.com.ar
PIEDRA INFINITA COCINA;COSTA CANAL UCO;S/N;PARAJE ALTAMIRA;SAN CARLOS;;VI•A SANTA JULIA S.A.;info@familiazuccardi.com
